S.No,Date,Tele Caller,Description ,Contact Number,Status,Source,Category,Call Type,Remarks,Company
59,23-04-22,Muniswari,Junk Lead,9659554722,Switched off ,CRM,Residence,Inactive,Nil,Budanta
60,23-04-22,Muniswari,Junk Lead,9788855500,Out of district,CRM,Residence,Inactive,Nil,Budanta
61,23-04-22,Muniswari,Junk Lead,8825658718,Out of district,CRM,Residence,Inactive,Nil,Budanta
62,23-04-22,Muniswari,Junk Lead,9976346190,Not required,CRM,Residence,Inactive,Nil,Budanta
63,23-04-22,Muniswari,Junk Lead,9788282533,Not required,CRM,Residence,Inactive,Nil,Budanta
64,23-04-22,Muniswari,Junk Lead,9488492884,Not required,CRM,Residence,Inactive,Nil,Budanta
65,23-04-22,Muniswari,Junk Lead,9894273732,Ringing no response,CRM,Residence,Inactive,Nil,Budanta
66,23-04-22,Muniswari,Junk Lead,9788282533,Not required,CRM,Residence,Inactive,Nil,Budanta
67,23-04-22,Muniswari,Junk Lead,8825658718,Out of district,CRM,Residence,Inactive,Nil,Budanta
68,23-04-22,Muniswari,Junk Lead,8903462145,Invalid numbers ,CRM,Residence,Inactive,Nil,Budanta
69,23-04-22,Muniswari,Junk Lead,9788282533,Not required,CRM,Residence,Inactive,Nil,Budanta
70,23-04-22,Muniswari,Junk Lead,8903462109,Not required,CRM,Residence,Inactive,Nil,Budanta
71,25-04-22,Eswarya,Junk Lead,9445916922,Out of district,CRM,Residence,Inactive,Nil,Budanta
72,25-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
73,25-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
74,25-04-22,Eswarya,Junk Lead,9659537811,Out of district,CRM,Residence,Inactive,Nil,Budanta
75,25-04-22,Eswarya,Junk Lead,9865046922,Out of district,CRM,Residence,Inactive,Nil,Budanta
76,25-04-22,Eswarya,Junk Lead,9787348921,Out of district,CRM,Residence,Inactive,Nil,Budanta
77,25-04-22,Eswarya,Junk Lead,9655333915,Out of district,CRM,Residence,Inactive,Nil,Budanta
78,25-04-22,Eswarya,Junk Lead,9843467674,Out of district,CRM,Residence,Inactive,Nil,Budanta
79,25-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
80,25-04-22,Eswarya,Junk Lead,8098316365,Invalid number,CRM,Residence,Inactive,Nil,Budanta
81,25-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
82,25-04-22,Eswarya,Junk Lead,9786503787,Out of district,CRM,Residence,Inactive,Nil,Budanta
83,25-04-22,Eswarya,Junk Lead,8939077349,Invalid number,CRM,Residence,Inactive,Nil,Budanta
84,25-04-22,Eswarya,Junk Lead,9786782334,Invalid number,CRM,Residence,Inactive,Nil,Budanta
85,25-04-22,Eswarya,Junk Lead,7639106866,Not interested ,CRM,Residence,Inactive,Nil,Budanta
86,25-04-22,Eswarya,Junk Lead,9787127416,Ringing no response,CRM,Residence,Inactive,Nil,Budanta
87,25-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
88,25-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
89,25-04-22,Eswarya,Junk Lead,9159047664,Out of District,CRM,Residence,Inactive,Nil,Budanta
90,25-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
91,25-04-22,Eswarya,Junk Lead,7094294624,Out of district,CRM,Residence,Inactive,Nil,Budanta
92,25-04-22,Eswarya,Junk Lead,8524969781,Invalid number,CRM,Residence,Inactive,Nil,Budanta
93,25-04-22,Eswarya,Junk Lead,8940388431,Out of district,CRM,Residence,Inactive,Nil,Budanta
94,25-04-22,Eswarya,Junk Lead,9626377060,Invalid number,CRM,Residence,Inactive,Nil,Budanta
95,25-04-22,Eswarya,Junk Lead,9798451989,Duplicate,CRM,Residence,Inactive,Nil,Budanta
96,25-04-22,Eswarya,Junk Lead,9786043237,Out of district,CRM,Residence,Inactive,Nil,Budanta
97,25-04-22,Eswarya,Junk Lead,9874919165,Invalid number,CRM,Residence,Inactive,Nil,Budanta
98,25-04-22,Eswarya,Junk Lead,9998919116,Invalid number,CRM,Residence,Inactive,Nil,Budanta
99,25-04-22,Eswarya,Junk Lead,6516599984,Out of state,CRM,Residence,Inactive,Nil,Budanta
100,25-04-22,Eswarya,Junk Lead,8949918919,Invalid number,CRM,Residence,Inactive,Nil,Budanta
101,25-04-22,Eswarya,Junk Lead,6979849989,Out of district,CRM,Residence,Inactive,Nil,Budanta
102,25-04-22,Eswarya,Junk Lead,6986511616,Out of district,CRM,Residence,Inactive,Nil,Budanta
103,25-04-22,Eswarya,Junk Lead,9566947322,Out of district,CRM,Residence,Inactive,Nil,Budanta
104,25-04-22,Eswarya,Junk Lead,6985256191,Out of district,CRM,Residence,Inactive,Nil,Budanta
105,25-04-22,Eswarya,Junk Lead,6320041505,Out of district,CRM,Residence,Inactive,Nil,Budanta
106,25-04-22,Eswarya,Junk Lead,6564651641,Out of state,CRM,Residence,Inactive,Nil,Budanta
107,25-04-22,Eswarya,Junk Lead,6955619491,Out of state,CRM,Residence,Inactive,Nil,Budanta
108,25-04-22,Eswarya,Junk Lead,9879896161,Out of district,CRM,Residence,Inactive,Nil,Budanta
109,25-04-22,Eswarya,Junk Lead,9655935719,Out of district,CRM,Residence,Inactive,Nil,Budanta
110,25-04-22,Eswarya,Junk Lead,8110804098,Out of district,CRM,Residence,Inactive,Nil,Budanta
111,25-04-22,Eswarya,Junk Lead,9047479220,Out of district,CRM,Residence,Inactive,Nil,Budanta
112,25-04-22,Eswarya,Junk Lead,8949651982,Out of district,CRM,Residence,Inactive,Nil,Budanta
113,25-04-22,Eswarya,Junk Lead,9898759566,Out of district,CRM,Residence,Inactive,Nil,Budanta
114,25-04-22,Eswarya,Junk Lead,8949191982,Out of district,CRM,Residence,Inactive,Nil,Budanta
115,25-04-22,Eswarya,Junk Lead,6325945198,Invalid number,CRM,Residence,Inactive,Nil,Budanta
116,25-04-22,Eswarya,Junk Lead,9898021905,Invalid number,CRM,Residence,Inactive,Nil,Budanta
117,25-04-22,Eswarya,Junk Lead,8975918659,Not required,CRM,Residence,Inactive,Nil,Budanta
118,25-04-22,Eswarya,Junk Lead,8611961919,Not interested ,CRM,Residence,Inactive,Nil,Budanta
119,25-04-22,Eswarya,Junk Lead,9843219333,Out of district,CRM,Residence,Inactive,Nil,Budanta
120,25-04-22,Eswarya,Junk Lead,8796652192,Out of district,CRM,Residence,Inactive,Nil,Budanta
121,25-04-22,Eswarya,Junk Lead,9894519651,Out of district,CRM,Residence,Inactive,Nil,Budanta
122,25-04-22,Eswarya,Junk Lead,8979892922,Invalid number,CRM,Residence,Inactive,Nil,Budanta
123,25-04-22,Eswarya,Junk Lead,6325147889,Out of state,CRM,Residence,Inactive,Nil,Budanta
124,25-04-22,Eswarya,Junk Lead,6985121000,Out of district,CRM,Residence,Inactive,Nil,Budanta
125,25-04-22,Eswarya,Junk Lead,8491962192,Not required,CRM,Residence,Inactive,Nil,Budanta
126,25-04-22,Eswarya,Junk Lead,9849865219,Out of state,CRM,Residence,Inactive,Nil,Budanta
127,25-04-22,Eswarya,Junk Lead,9047414763,Invalid number,CRM,Residence,Inactive,Nil,Budanta
128,25-04-22,Eswarya,Junk Lead,9879161651,Out of district,CRM,Residence,Inactive,Nil,Budanta
